AGENCY,DESCRIPTION,UPLOADED ON,LINK,VALUE
BUREAU OF LAND MANAGEMENT,EEO DEIA SUPPORT,2/13/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9300&PIID=93310023P0021&modNumber=A00002&idvAgencyID=&idvPIID=&contractType=AWARD,"$440,000 "
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,TO PROCURE A PROFESSIONAL CONSULTING SERVICE FOR VALUE PLANNING AND VALUE MAPPING RELATED TO THE AMERICORPS MODERNIZATION INITIATIVE.,2/26/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9577&PIID=95332A22F00018&modNumber=P00006&idvAgencyID=&idvPIID=GS00F170CA&contractType=AWARD,"$394,437 "
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,CHANGE MANAGEMENT AND BUSINESS PROCESS REENGINEERING PROFESSIONAL SERVICES.,2/26/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9577&PIID=95332A22F00023&modNumber=P00007&idvAgencyID=&idvPIID=GS00F170CA&contractType=AWARD,"$3,204,278 "
COMMODITY FUTURES TRADING COMMISSION,ONLINE SUBSCRIPTION TO THE NEW YORK TIMES.,2/25/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY22P0041&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,"$41,106 "
COMMODITY FUTURES TRADING COMMISSION,DEIA INCLUSIVE LEADERSHIP TRAINING FOR SUPERVISORS,2/26/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY23C0032&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,"$443,742 "
COMMODITY FUTURES TRADING COMMISSION,Annual subscription to Politico Pro,2/13/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY21P0041&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,"$255,863 "
CONSUMER FINANCIAL PROTECTION BUREAU,NEW RELIC LICENSE RENEWAL,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00049&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SC82B&contractType=AWARD,"$45,321 "
CONSUMER FINANCIAL PROTECTION BUREAU,MAINTENANCE RENEWAL FOR MATLAB LICENSES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00043&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SC80B&contractType=AWARD,"$54,124 "
CONSUMER FINANCIAL PROTECTION BUREAU,ROSETTA STONE CATALYST BRONZE SOFTWARE,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00025&modNumber=P00001&idvAgencyID=&idvPIID=47QTCA23D007Q&contractType=AWARD,"$56,544 "
CONSUMER FINANCIAL PROTECTION BUREAU,PROVAR LICENSE RENEWAL,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00016&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD06B&contractType=AWARD,"$72,154 "
CONSUMER FINANCIAL PROTECTION BUREAU,BEYONDTRUST LICENSES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00022&modNumber=P00002&idvAgencyID=&idvPIID=NNG15SD09B&contractType=AWARD,"$92,135 "
CONSUMER FINANCIAL PROTECTION BUREAU,MORTGAGE RATE LOCK DATA,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24P0021&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$291,950 "
CONSUMER FINANCIAL PROTECTION BUREAU,OFLEO/ENF FORECLOSURE DATA,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0085&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD74B&contractType=AWARD,"$341,150 "
CONSUMER FINANCIAL PROTECTION BUREAU,IBM I2 ANALYST NOTEBOOK LICENSES AND SOFTWARE SUBSCRIPTION FOR CFPB,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343020F00068&modNumber=P00006&idvAgencyID=&idvPIID=NNG15SD23B&contractType=AWARD,"$401,733 "
CONSUMER FINANCIAL PROTECTION BUREAU,RELATIONAL JUNCTION SW RENEWAL,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021C00003&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD,"$427,368 "
CONSUMER FINANCIAL PROTECTION BUREAU,CISCO SMARTNET MAINTENANCE,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0075&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SC71B&contractType=AWARD,"$446,087 "
CONSUMER FINANCIAL PROTECTION BUREAU,NUVOLO IWMS LICENSES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021F00033&modNumber=P00005&idvAgencyID=&idvPIID=NNG15SD06B&contractType=AWARD,"$467,095 "
CONSUMER FINANCIAL PROTECTION BUREAU,YUBIENTERPRISE COMPLIANCE TIER PLUS PLAN,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343023F00019&modNumber=P00004&idvAgencyID=&idvPIID=NNG15SD11B&contractType=AWARD,"$512,500 "
CONSUMER FINANCIAL PROTECTION BUREAU,CONSUMER CREDIT INFORMATION PANEL AUTO FINANCE DATA COLLECTION,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00034&modNumber=P00002&idvAgencyID=&idvPIID=20343023D00001&contractType=AWARD,"$576,384 "
CONSUMER FINANCIAL PROTECTION BUREAU,NATIONAL INSTITUTE FOR TRIAL ADVOCACY (NITA) BPA,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343023A00001&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=IDV,"$730,000 "
CONSUMER FINANCIAL PROTECTION BUREAU,EVALUATION AND RESEARCH SERVICES BPA,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0016&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA18D003Z&contractType=IDV,"$5,000,000 "
CONSUMER FINANCIAL PROTECTION BUREAU,EVALUATION AND RESEARCH SERVICES BPA,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0015&modNumber=P00003&idvAgencyID=&idvPIID=47QRAA18D00DQ&contractType=IDV,"$5,000,000 "
CONSUMER FINANCIAL PROTECTION BUREAU,EVALUATION AND RESEARCH SERVICES BPA,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0019&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA19D00BV&contractType=IDV,"$5,000,000 "
CONSUMER FINANCIAL PROTECTION BUREAU,EVALUATION AND RESEARCH SERVICES BPA,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0017&modNumber=P00002&idvAgencyID=&idvPIID=GS00F009DA&contractType=IDV,"$5,000,000 "
CONSUMER FINANCIAL PROTECTION BUREAU,RESEARCH AND EVALUATION SERVICES BPA,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0012&modNumber=P00002&idvAgencyID=&idvPIID=GS00F216GA&contractType=IDV,"$5,000,000 "
CONSUMER FINANCIAL PROTECTION BUREAU,EVALUATION AND RESEARCH SERVICES BPA,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0013&modNumber=P00002&idvAgencyID=&idvPIID=GS00F252CA&contractType=IDV,"$5,000,000 "
CONSUMER FINANCIAL PROTECTION BUREAU,EVALUATION AND RESEARCH SERVICES BPA,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0014&modNumber=P00002&idvAgencyID=&idvPIID=GS00F348CA&contractType=IDV,"$5,000,000 "
CONSUMER FINANCIAL PROTECTION BUREAU,BPA CALL FOR FACILITATION SERVICES,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20F0092&modNumber=P00002&idvAgencyID=&idvPIID=9531CB18A0002&contractType=AWARD,"$94,315 "
CONSUMER FINANCIAL PROTECTION BUREAU,NEW EXPERT CONTRACT-GLM-LD,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0023&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,"$40,800 "
CONSUMER FINANCIAL PROTECTION BUREAU,MAKING ENDS MEET - CREDIT PANEL DATA FOR PREVIOUS SURVEY RESPONDENTS,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00039&modNumber=P00002&idvAgencyID=&idvPIID=20343023D00001&contractType=AWARD,"$26,322 "
CONSUMER FINANCIAL PROTECTION BUREAU,"CONSUMER CREDIT INFORMATION PANEL, MAKING ENDS MEET",2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343025F00001&modNumber=P00001&idvAgencyID=&idvPIID=20343023D00001&contractType=AWARD,"$27,112 "
CONSUMER FINANCIAL PROTECTION BUREAU,TERRITORIES EXPERT,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0006&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$28,000 "
CONSUMER FINANCIAL PROTECTION BUREAU,ACCURINT GOVERNMENT PLUS LICENSES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00048&modNumber=P00002&idvAgencyID=&idvPIID=03310323D0035&contractType=AWARD,"$270,900 "
CONSUMER FINANCIAL PROTECTION BUREAU,TRANSLATION AND INTERPRETATION SERVICES - ENFORCEMENT,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0071&modNumber=P00002&idvAgencyID=&idvPIID=9531CB22A0001&contractType=AWARD,"$40,005 "
CONSUMER FINANCIAL PROTECTION BUREAU,MOBILE INTELLIGENCE DATA PLATFORM,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23P0014&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,"$321,000 "
CONSUMER FINANCIAL PROTECTION BUREAU,LAWPROSE FY24 ADVANCED LEGAL WRITING & EDITING CLASSES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024P00005&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,"$97,590 "
CONSUMER FINANCIAL PROTECTION BUREAU,CLEAR INVESTIGATION SOFTWARE,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00053&modNumber=P00002&idvAgencyID=&idvPIID=GS02F026DA&contractType=AWARD,"$602,834 "
CONSUMER FINANCIAL PROTECTION BUREAU,"TRANSLATIONS, COMPLIANCE AND QUALITY REVIEW",2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0048&modNumber=P00008&idvAgencyID=&idvPIID=9531CB22A0001&contractType=AWARD,"$783,300 "
CONSUMER FINANCIAL PROTECTION BUREAU,LITIGATION EXPERT SERVICES FOR CFPB LEGAL DIVISION,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0022&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD,"$625,730 "
CONSUMER FINANCIAL PROTECTION BUREAU,COMPENSATION AND CONSULTING EXPERT,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0027&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,"$288,210 "
CONSUMER FINANCIAL PROTECTION BUREAU,NEW EXPERT WITNESS CONTRACT - TELEPHONE SURVEYS,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0019&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$421,313 "
CONSUMER FINANCIAL PROTECTION BUREAU,EXPERT SERVICES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0026&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$279,000 "
CONSUMER FINANCIAL PROTECTION BUREAU,CQ ROLLCALL,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0039&modNumber=P00001&idvAgencyID=&idvPIID=03310323D0031&contractType=AWARD,"$299,250 "
CONSUMER FINANCIAL PROTECTION BUREAU,EXPERT CONTRACT - HMDA ANALYSIS,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0024&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$564,580 "
CONSUMER FINANCIAL PROTECTION BUREAU,NEW EXPERT WITNESS CONTRACT - RESEARCH FIRM,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0020&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,"$865,930 "
